name;rect
Pudahuel;POLYGON((-7898698.44 -3960287.16,-7898698.44 -3941900.61,-7873742.85 -3941900.61,-7873742.85 -3960287.16,-7898698.44 -3960287.16))
Padre Hurtado;POLYGON((-7897981.35 -3975034.02,-7897981.35 -3963058,-7879010.82 -3963058,-7879010.82 -3975034.02,-7897981.35 -3975034.02))
Centro de Estudios Nucleares Lo Aguirre - Comisión Chilena de Energía Nuclear;POLYGON((-7896526.61 -3955614.5,-7896526.61 -3954824.77,-7895895.99 -3954824.77,-7895895.99 -3955614.5,-7896526.61 -3955614.5))
RECH-2;POLYGON((-7896228.27 -3955311.77,-7896228.27 -3955282.35,-7896198.9 -3955282.35,-7896198.9 -3955311.77,-7896228.27 -3955311.77))
Mina Lo Aguirre;POLYGON((-7896021.53 -3955903.06,-7896021.53 -3953263.47,-7891572.18 -3953263.47,-7891572.18 -3955903.06,-7896021.53 -3955903.06))
Maipú;POLYGON((-7895889.38 -3971457.55,-7895889.38 -3956282.66,-7872324.64 -3956282.66,-7872324.64 -3971457.55,-7895889.38 -3971457.55))
Hospital de Peñaflor;POLYGON((-7893054.15 -3976627.42,-7893054.15 -3976525.9,-7892897.1 -3976525.9,-7892897.1 -3976627.42,-7893054.15 -3976627.42))
Teresa de Calcuta;POLYGON((-7892992.65 -3976800,-7892992.65 -3976682.78,-7892891.55 -3976682.78,-7892891.55 -3976800,-7892992.65 -3976800))
Juzgado de Familia;POLYGON((-7892819.32 -3976269.72,-7892819.32 -3976224.34,-7892775.56 -3976224.34,-7892775.56 -3976269.72,-7892819.32 -3976269.72))
Tottus;POLYGON((-7892713.12 -3976174.21,-7892713.12 -3975977.14,-7892416.94 -3975977.14,-7892416.94 -3976174.21,-7892713.12 -3976174.21))
Parque Trapiche de Peñaflor;POLYGON((-7892677.28 -3975280.81,-7892677.28 -3974584.17,-7891873.92 -3974584.17,-7891873.92 -3975280.81,-7892677.28 -3975280.81))
Estadio Bata;POLYGON((-7892676.22 -3975296.34,-7892676.22 -3975161.4,-7892578.78 -3975161.4,-7892578.78 -3975296.34,-7892676.22 -3975296.34))
Municipalidad de Peñaflor;POLYGON((-7892665.68 -3976278.01,-7892665.68 -3976247.63,-7892622.39 -3976247.63,-7892622.39 -3976278.01,-7892665.68 -3976278.01))
Plaza de Armas de Peñaflor;POLYGON((-7892660.88 -3976396.65,-7892660.88 -3976279,-7892548.62 -3976279,-7892548.62 -3976396.65,-7892660.88 -3976396.65))
Colegio Jose Manuel Balmaceda;POLYGON((-7892638.53 -3976984.52,-7892638.53 -3976796.41,-7892379.96 -3976796.41,-7892379.96 -3976984.52,-7892638.53 -3976984.52))
JUZGADO DE LETRAS ;POLYGON((-7892423.67 -3976467.5,-7892423.67 -3976433.51,-7892381.99 -3976433.51,-7892381.99 -3976467.5,-7892423.67 -3976467.5))
Peaje Lo Prado;POLYGON((-7892409.66 -3956151.34,-7892409.66 -3956053.99,-7892363.67 -3956053.99,-7892363.67 -3956151.34,-7892409.66 -3956151.34))
A Cuenta;POLYGON((-7892306.46 -3976154.49,-7892306.46 -3976041.03,-7892150.6 -3976041.03,-7892150.6 -3976154.49,-7892306.46 -3976154.49))
Condominio;POLYGON((-7892238.91 -3977123.89,-7892238.91 -3976778.01,-7892001.11 -3976778.01,-7892001.11 -3977123.89,-7892238.91 -3977123.89))
Escuela  Especial Kimantu De PeÑAflor;POLYGON((-7892200.76 -3976506.2,-7892200.76 -3976350.96,-7892021.61 -3976350.96,-7892021.61 -3976506.2,-7892200.76 -3976506.2))
"Escuela Basica Augusto D""Halmar";POLYGON((-7892127.3 -3976257.21,-7892127.3 -3976097.16,-7892024.6 -3976097.16,-7892024.6 -3976257.21,-7892127.3 -3976257.21))
Balneario La Ponderosa de Peñaflor;POLYGON((-7891775.45 -3974290.41,-7891775.45 -3973810.3,-7891412.61 -3973810.3,-7891412.61 -3974290.41,-7891775.45 -3974290.41))
Parque Acuático El Idilio;POLYGON((-7891377.77 -3974970.75,-7891377.77 -3974600.22,-7891018.71 -3974600.22,-7891018.71 -3974970.75,-7891377.77 -3974970.75))
Cementerio de Lampa;POLYGON((-7891266.96 -3933901.52,-7891266.96 -3933683.29,-7891076 -3933683.29,-7891076 -3933901.52,-7891266.96 -3933901.52))
Cancha Fútbol Peñaflor;POLYGON((-7891113.92 -3975534.86,-7891113.92 -3975379.39,-7890974.4 -3975379.39,-7890974.4 -3975534.86,-7891113.92 -3975534.86))
Balneario El Paraiso Sueco;POLYGON((-7891088.83 -3973459.76,-7891088.83 -3972655.67,-7890458.43 -3972655.67,-7890458.43 -3973459.76,-7891088.83 -3973459.76))
Parque Científico Tecnológico Laguna Carén - Universidad de Chile;POLYGON((-7890795.11 -3954285.63,-7890795.11 -3950477.99,-7884608.85 -3950477.99,-7884608.85 -3954285.63,-7890795.11 -3954285.63))
Cancha Futbol Lampa;POLYGON((-7890759.24 -3933933.56,-7890759.24 -3933809.82,-7890620.85 -3933809.82,-7890620.85 -3933933.56,-7890759.24 -3933933.56))
Escuela Basica Republica Checa;POLYGON((-7890747.9 -3975626.6,-7890747.9 -3975530.46,-7890643.99 -3975530.46,-7890643.99 -3975626.6,-7890747.9 -3975626.6))
Escuela Básica República de Israel;POLYGON((-7890729.61 -3976354.05,-7890729.61 -3976257.49,-7890637.07 -3976257.49,-7890637.07 -3976354.05,-7890729.61 -3976354.05))
